price,view,sqft_living,sqft_lot,bedrooms,bathrooms
199000.0,NONE,1320,17390,2,5
220000.0,NONE,2020,7840,3,5
452000.0,NONE,2590,10002,3,7
382500.0,NONE,1190,4440,1,2
519950.0,NONE,1170,1249,2,7
665000.0,NONE,1110,3200,1,2
527700.0,NONE,2820,9375,4,8
205000.0,NONE,1610,8579,2,2
420000.0,NONE,1060,8097,2,2
500000.0,NONE,2030,8517,3,7
921500.0,NONE,3670,315374,3,8
890000.0,NONE,2550,4000,3,2
430000.0,NONE,2420,60984,1,8
258000.0,NONE,2260,12500,4,6
511000.0,NONE,1430,3455,2,2
532170.0,NONE,1360,3090,2,6
560000.0,NONE,1110,5000,2,2
282950.0,NONE,1250,8200,2,2
350000.0,NONE,700,5100,0,2
215000.0,NONE,1180,7669,2,2
650000.0,NONE,3960,25245,4,12
320000.0,NONE,2640,7500,3,9
247000.0,NONE,1270,7198,2,6
320000.0,NONE,1760,11180,3,5
255000.0,NONE,2060,8632,4,7
438000.0,NONE,1780,9660,2,5
900000.0,NONE,3400,16603,2,8
441000.0,NONE,1910,7280,2,9
420000.0,NONE,2020,38332,2,6
370000.0,NONE,1580,7000,2,5
269950.0,NONE,1340,7250,1,5
807100.0,NONE,2680,4499,3,8
653000.0,NONE,2680,9750,2,8
371500.0,NONE,1370,8336,2,6
284000.0,NONE,1560,21000,2,5
272000.0,NONE,2160,7140,2,5
313000.0,NONE,1340,7912,2,4
917500.0,NONE,3880,35003,3,8
673000.0,NONE,2590,8190,3,7
425000.0,NONE,1120,1100,2,8
399950.0,NONE,1970,5400,4,9
385000.0,NONE,1220,4800,2,2
269950.0,AVERAGE,1950,7560,2,4
330000.0,NONE,1350,8220,1,2
260000.0,NONE,1670,5797,2,8
470000.0,NONE,2380,5125,3,10
589000.0,NONE,2440,9600,3,10
163500.0,NONE,1050,3419,1,4
835000.0,NONE,3130,13412,3,9
1100000.0,AVERAGE,4090,12850,4,10
269000.0,NONE,1490,10000,3,5
560000.0,NONE,1900,8744,2,8
615000.0,NONE,1330,2400,3,2
585188.0,NONE,2230,10026,2,7
305000.0,NONE,1650,9480,2,5
166950.0,NONE,1190,8820,2,2
799000.0,NONE,2140,9897,2,8
400000.0,NONE,2180,7508,2,8
230000.0,NONE,1060,10228,2,2
256883.0,NONE,1690,5025,2,8
423000.0,NONE,1970,6480,3,6
465000.0,NONE,2150,4084,2,8
440000.0,NONE,1910,66211,2,8
385000.0,NONE,1350,155073,2,5
210000.0,NONE,860,11725,2,2
297000.0,NONE,1940,14952,2,8
470000.0,NONE,1010,5000,2,2
226500.0,NONE,1300,7370,2,4
274250.0,NONE,910,8450,2,2
677900.0,NONE,2440,4587,2,8
425000.0,NONE,1010,5864,2,2
180250.0,NONE,900,9600,1,1
464000.0,NONE,2300,3404,5,10
320000.0,NONE,1550,7579,3,7
625504.0,NONE,1270,1566,2,7
592500.0,NONE,2240,12032,3,8
465000.0,NONE,2714,17936,2,8
477000.0,NONE,1720,6270,3,9
280000.0,NONE,850,16400,1,2
445838.0,NONE,2250,5692,2,8
1070000.0,GOOD,3900,14864,1,7
467000.0,NONE,1320,10800,1,4
686000.0,NONE,2760,6440,3,8
279950.0,NONE,1750,9750,2,6
527000.0,NONE,2330,19436,3,7
325000.0,NONE,2220,16020,2,7
328000.0,NONE,2020,8379,2,7
390000.0,NONE,1250,7500,2,7
479950.0,NONE,1510,6516,1,6
264950.0,NONE,1720,9753,3,7
235000.0,NONE,1430,15246,2,2
516500.0,NONE,1480,4729,2,8
655000.0,EXCELLENT,1450,15798,1,5
500000.0,NONE,2280,15347,3,9
315000.0,NONE,2940,7350,5,9
213000.0,NONE,1000,10200,1,2
475000.0,NONE,2480,5280,2,4
1030000.0,NONE,3760,28040,4,14
416000.0,NONE,2220,94300,2,6
410000.0,NONE,1970,4740,3,2
800000.0,NONE,3830,221284,2,12
472000.0,AVERAGE,4410,14034,5,8
225000.0,NONE,1430,8505,2,5
210000.0,NONE,830,6000,1,2
455000.0,NONE,1430,5000,1,2
225000.0,NONE,1300,8316,2,2
480000.0,AVERAGE,1030,3060,1,2
363000.0,NONE,2740,11872,2,8
181000.0,NONE,720,5120,1,4
250000.0,NONE,2010,7312,3,6
481000.0,NONE,1560,3000,2,5
260000.0,NONE,1810,7209,2,6
455000.0,NONE,3360,7685,3,8
415000.0,NONE,1510,36224,2,7
349500.0,NONE,1400,3538,2,2
245000.0,NONE,1730,7442,2,8
592500.0,AVERAGE,1420,9191,1,6
385000.0,NONE,2360,7620,3,5
315000.0,NONE,1580,11455,2,5
255000.0,NONE,1230,10170,2,2
693000.0,NONE,2460,4425,3,8
780000.0,NONE,1660,4400,2,2
237000.0,NONE,1270,8470,2,5
525000.0,NONE,2100,40510,2,7
425000.0,NONE,770,5040,1,2
369900.0,EXCELLENT,760,10079,0,1
290000.0,NONE,1700,7280,3,8
285000.0,NONE,1120,10701,2,2
415000.0,NONE,1070,4500,1,2
272500.0,NONE,2070,9900,2,8
436000.0,NONE,1040,7538,1,2
210000.0,NONE,1700,11390,2,2
236000.0,NONE,1300,5898,2,2
331000.0,NONE,1080,1306,2,5
365000.0,NONE,2653,4510,2,8
450000.0,NONE,2290,16258,2,6
770000.0,NONE,3820,26300,3,9
455000.0,NONE,2210,49375,3,8
405000.0,NONE,2390,6000,2,5
304900.0,NONE,2600,11325,3,5
170000.0,NONE,860,5265,1,2
780000.0,NONE,3500,7048,3,8
330000.0,NONE,2420,13959,2,10
370000.0,NONE,2720,8666,3,8
467000.0,NONE,2500,13500,4,7
405000.0,NONE,1670,6720,2,5
675000.0,NONE,2900,10300,4,7
500000.0,NONE,1640,14100,1,2
389999.0,NONE,1890,15770,3,8
630000.0,AVERAGE,2950,9025,3,5
360000.0,NONE,2160,9528,3,8
580000.0,NONE,3280,11060,3,10
550000.0,GOOD,1970,4166,2,6
879000.0,NONE,3360,22111,3,8
265000.0,NONE,1320,8959,2,6
446500.0,NONE,2650,7286,2,8
404000.0,NONE,2030,8880,2,4
267500.0,AVERAGE,1590,11914,2,5
335000.0,NONE,2440,7632,2,8
576000.0,NONE,1940,9000,2,8
208633.0,NONE,2040,3810,2,8
315000.0,NONE,2200,8750,2,7
725000.0,NONE,1920,3300,2,5
550000.0,NONE,1800,7750,3,9
610750.0,NONE,2180,7297,3,7
550700.0,NONE,1010,5000,1,2
665000.0,NONE,3320,10574,3,9
834000.0,AVERAGE,2370,4000,3,8
201000.0,NONE,1660,78408,4,5
305000.0,NONE,1950,7700,3,7
487000.0,NONE,2590,14052,2,6
390000.0,NONE,1930,64904,2,8
548000.0,NONE,1470,3864,1,2
268750.0,NONE,800,8775,3,2
819900.0,NONE,3150,7119,4,9
520000.0,NONE,2030,16200,2,7
230000.0,NONE,1450,11204,2,6
240000.0,NONE,1510,10248,2,5
232000.0,NONE,1240,12092,1,2
240500.0,NONE,1240,12092,1,2
274975.0,NONE,3030,45004,2,8
740000.0,NONE,2050,4400,3,6
186375.0,NONE,1000,7636,2,2
790000.0,NONE,2370,10289,2,7
880000.0,NONE,2800,6750,3,12
279000.0,NONE,2240,11180,5,5
295000.0,AVERAGE,1810,10530,2,6
640000.0,NONE,1070,5000,1,2
940000.0,NONE,2490,9525,3,6
260000.0,NONE,1960,5238,3,8
559900.0,NONE,2930,5569,2,9
791500.0,NONE,1510,3500,3,6
265000.0,NONE,1420,8250,2,5
245000.0,NONE,1740,11547,2,5
485000.0,NONE,2560,43995,3,5
684000.0,NONE,3040,8414,3,12
425000.0,NONE,2500,6840,2,5
309600.0,NONE,1275,20000,3,5
552250.0,NONE,2580,5823,3,8
165000.0,NONE,1000,7134,3,2
239900.0,NONE,1000,7134,3,2
320000.0,NONE,1070,32633,1,2
206600.0,NONE,1390,13464,2,6
387000.0,NONE,2500,7690,3,5
299000.0,NONE,560,12120,0,1
855000.0,NONE,2270,10460,3,9
315000.0,NONE,1900,14400,2,2
437500.0,AVERAGE,990,3120,1,2
252000.0,NONE,1550,19800,3,4
375000.0,NONE,2200,7475,3,5
300000.0,NONE,1910,4862,3,8
420000.0,NONE,1750,9600,3,2
900000.0,NONE,1330,77972,2,2
679900.0,AVERAGE,2440,5750,2,8
463000.0,NONE,1640,29970,2,8
380000.0,NONE,2760,11340,4,8
329500.0,NONE,1820,7912,3,8
604950.0,NONE,2110,5608,2,8
795000.0,AVERAGE,3040,9570,4,8
465000.0,NONE,1840,40438,2,6
673000.0,NONE,2990,10400,3,8
810000.0,NONE,3520,15420,3,8
785000.0,NONE,2440,69415,3,9
338000.0,NONE,2090,7500,3,10
280000.0,NONE,1430,7222,2,7
315000.0,NONE,2180,10754,3,7
530000.0,NONE,2180,10754,3,7
380000.0,NONE,3450,9914,4,10
297000.0,NONE,1450,7562,2,7
730000.0,NONE,3230,7331,3,8
450000.0,NONE,1640,13500,2,5
275000.0,NONE,1590,7750,2,10
595000.0,NONE,2020,2849,3,6
435000.0,NONE,1300,3348,2,4
270000.0,NONE,1380,209959,1,4
950000.0,NONE,4040,14338,2,10
389000.0,NONE,2130,5337,3,7
560000.0,NONE,2550,7800,3,7
799000.0,NONE,2510,11585,3,7
365500.0,NONE,1410,9600,2,6
252350.0,NONE,1650,7352,2,6
403950.0,NONE,2120,13780,3,8
385000.0,NONE,2040,10726,3,4
345000.0,NONE,1550,7620,3,2
490000.0,NONE,1980,3128,2,9
330000.0,NONE,1600,26977,2,8
927000.0,NONE,3300,12090,3,9
1120000.0,FAIR,3840,16619,3,8
330000.0,NONE,1220,10000,1,2
530000.0,NONE,2720,8800,4,7
365000.0,NONE,1940,25600,3,6
378750.0,NONE,2160,3000,2,8
269900.0,NONE,1530,8750,3,5
557000.0,NONE,1710,2096,2,12
360000.0,NONE,3730,16980,3,5
352000.0,NONE,940,5000,1,2
437000.0,NONE,1750,22357,2,8
322500.0,NONE,1820,6753,3,8
650000.0,NONE,1510,2000,2,11
450000.0,NONE,1290,1213,2,6
278500.0,NONE,1570,5250,2,6
364950.0,NONE,1930,6957,3,8
840000.0,EXCELLENT,2840,40139,3,12
268000.0,NONE,1550,8134,2,8
517534.0,NONE,833,143947,1,2
632925.0,NONE,2990,32239,2,8
577500.0,NONE,2000,7251,2,8
339000.0,AVERAGE,2390,7480,3,4
570000.0,NONE,2910,37461,2,5
563500.0,NONE,2085,174240,3,5
423000.0,NONE,2200,9351,3,7
355000.0,NONE,1860,5028,2,7
482000.0,NONE,950,3960,1,2
625000.0,NONE,1600,9135,2,5
538000.0,NONE,2250,11632,2,8
380000.0,NONE,2280,10255,2,8
375000.0,NONE,940,5120,1,2
245000.0,NONE,1530,8500,2,8
310000.0,NONE,2190,27260,4,5
397000.0,NONE,1440,7680,3,6
365000.0,NONE,2200,4052,2,8
328500.0,NONE,2290,8250,3,10
988000.0,NONE,4040,19700,3,10
1000000.0,NONE,2610,3277,3,8
237000.0,NONE,1490,2138,2,8
525000.0,NONE,2450,5280,3,8
749000.0,NONE,1710,9627,3,8
722500.0,NONE,4870,11800,4,8
843000.0,NONE,3130,8750,2,8
438000.0,NONE,1270,1372,1,6
578000.0,AVERAGE,2120,10875,2,5
227950.0,NONE,1670,8230,2,4
196000.0,NONE,2070,11576,2,7
641000.0,NONE,1420,5332,1,2
350000.0,NONE,1250,219978,2,4
205000.0,NONE,940,7980,2,2
400000.0,NONE,1920,9102,2,5
1030000.0,NONE,3545,9816,2,8
505000.0,NONE,1260,5460,2,6
475000.0,NONE,2340,7200,4,8
520000.0,NONE,2590,9263,2,7
333500.0,NONE,1220,9732,2,5
232000.0,NONE,1400,10403,2,2
691100.0,NONE,2360,16117,2,9
811000.0,NONE,1870,9897,2,5
551000.0,NONE,2830,5802,2,8
496500.0,NONE,2260,3640,2,8
705000.0,GOOD,1970,20978,2,10
578000.0,AVERAGE,3140,9225,3,8
255000.0,NONE,1240,8659,2,5
1050000.0,NONE,3450,7832,3,12
348000.0,NONE,2570,8491,2,7
230000.0,NONE,1510,3413,2,6
359500.0,NONE,2390,11250,3,7
330000.0,NONE,980,7000,2,2
80000.0,NONE,430,5050,0,1
465000.0,NONE,1480,6360,2,5
325000.0,NONE,1850,7324,3,8
340500.0,NONE,2270,28025,2,6
342500.0,NONE,1810,5192,2,8
290900.0,NONE,1610,17600,1,6
868700.0,NONE,3840,6161,2,15
1150000.0,NONE,4190,10259,3,11
859900.0,NONE,3390,6298,3,9
520000.0,NONE,1890,3006,3,7
460000.0,AVERAGE,1610,2527,2,8
438924.0,NONE,1050,4590,2,4
315000.0,NONE,630,6550,1,2
590000.0,AVERAGE,2910,10650,3,9
378500.0,NONE,1700,8640,3,5
328500.0,NONE,1950,8130,2,8
849950.0,NONE,2990,9773,2,10
525000.0,AVERAGE,1350,6000,2,4
295000.0,NONE,2160,7725,3,8
1070000.0,NONE,4860,11793,5,12
699900.0,NONE,2810,7302,3,9
452000.0,NONE,1580,7350,3,4
370000.0,FAIR,1680,5036,2,6
232000.0,NONE,1300,11230,2,5
669950.0,NONE,2820,14062,4,8
397500.0,NONE,1510,6710,2,6
490000.0,NONE,1230,1391,1,8
725000.0,NONE,2110,4140,3,6
299000.0,AVERAGE,3080,19635,2,9
625000.0,NONE,1490,5750,1,4
437500.0,NONE,2120,4500,2,8
650000.0,NONE,3180,5438,3,8
475000.0,NONE,1490,3825,1,2
342000.0,NONE,1930,11947,2,6
280000.0,NONE,1670,11610,2,4
240000.0,NONE,1330,7200,1,5
529000.0,NONE,1210,3328,2,2
442000.0,NONE,1190,5100,2,2
615000.0,NONE,1540,6872,1,2
585000.0,NONE,2430,7559,3,5
480000.0,NONE,2600,7787,3,8
1100000.0,NONE,4410,57063,4,12
290000.0,NONE,1330,8184,3,2
615000.0,NONE,1900,5000,2,5
300000.0,NONE,1100,7680,1,2
308000.0,NONE,1980,39150,2,2
750000.0,NONE,2400,7745,2,8
890000.0,NONE,3180,194278,3,11
288000.0,NONE,1190,7560,2,2
190000.0,NONE,630,6000,1,2
515000.0,NONE,2530,5105,4,10
235000.0,NONE,1690,11054,3,4
275000.0,NONE,940,5000,1,2
727500.0,NONE,1240,9119,1,6
650000.0,NONE,3040,6587,3,8
365000.0,NONE,1590,7085,3,2
662000.0,NONE,2500,36947,2,5
270500.0,NONE,1780,7848,2,8
200000.0,NONE,1360,1898,1,4
970000.0,NONE,4740,76230,3,11
160000.0,NONE,1010,9600,2,4
204000.0,NONE,1040,7405,2,2
358000.0,NONE,1610,6655,2,7
452000.0,NONE,1570,8268,3,5
595000.0,NONE,1510,4000,1,6
249000.0,NONE,1360,6082,2,6
346900.0,NONE,1970,5106,3,8
280000.0,NONE,1560,4350,3,8
318888.0,NONE,2320,12000,3,5
530000.0,NONE,2120,40518,2,7
375000.0,NONE,2120,18500,2,7
910000.0,NONE,3350,29242,3,8
782000.0,NONE,2380,9614,3,8
259950.0,NONE,1070,649,1,6
315000.0,NONE,2300,18360,3,9
215000.0,NONE,1320,8865,1,2
705000.0,AVERAGE,2180,10221,2,5
451000.0,NONE,1790,9813,2,5
261000.0,NONE,750,8125,1,2
396000.0,NONE,1300,8280,2,4
725000.0,GOOD,2990,29170,3,8
238000.0,NONE,1400,7242,3,2
750000.0,NONE,2750,9563,5,5
331500.0,NONE,2050,10271,3,8
460000.0,NONE,2230,108900,3,10
404950.0,NONE,2340,217014,3,7
880000.0,NONE,2870,5163,2,8
863000.0,NONE,4120,22370,3,8
638700.0,NONE,2080,9162,2,5
435000.0,NONE,1840,5680,2,8
260000.0,NONE,1180,5350,2,2
671500.0,NONE,2160,4000,4,9
610000.0,NONE,1180,3400,2,2
405000.0,NONE,1160,15029,1,1
338900.0,NONE,1830,5612,3,8
720000.0,NONE,3200,7708,3,14
442000.0,NONE,2560,5445,4,10
650000.0,NONE,2550,5040,4,9
263500.0,NONE,1330,9917,2,5
300000.0,NONE,1220,75794,1,2
266000.0,NONE,1805,3402,2,8
930000.0,AVERAGE,6050,84942,3,14
530000.0,NONE,2320,5493,3,8
180000.0,NONE,1384,8960,2,2
619000.0,NONE,2720,6439,2,8
264000.0,NONE,1820,10608,2,4
730000.0,EXCELLENT,2130,4920,1,7
439000.0,NONE,2060,10070,3,7
268500.0,NONE,1420,7500,3,5
330000.0,NONE,1510,15744,2,5
640000.0,NONE,2160,4000,2,8
900000.0,NONE,3180,12600,2,8
370000.0,NONE,2110,13300,2,7
685000.0,NONE,2060,2900,2,6
265000.0,NONE,1820,32666,2,5
290000.0,NONE,1610,2937,2,8
296000.0,NONE,1780,3600,3,8
360000.0,NONE,1840,9611,3,8
240500.0,NONE,1460,10584,2,5
372500.0,NONE,1400,2958,1,8
595000.0,AVERAGE,3370,14402,2,8
515000.0,NONE,3590,8249,3,10
507000.0,NONE,1670,6460,1,5
399950.0,NONE,2420,31465,3,6
185000.0,NONE,1430,10816,2,5
460000.0,NONE,1440,7070,2,5
435500.0,NONE,1450,4789,2,7
469000.0,NONE,3550,13938,3,9
531000.0,NONE,1270,1175,1,10
443500.0,NONE,940,6804,1,2
223000.0,NONE,1670,6824,2,6
590000.0,NONE,3100,15842,3,12
340000.0,NONE,1100,1760,1,8
650000.0,NONE,1870,3388,2,6
533600.0,NONE,1930,5080,2,8
695000.0,NONE,2540,4694,2,9
242000.0,NONE,1280,7524,2,5
425000.0,NONE,1820,8814,2,7
525000.0,NONE,1490,9414,2,7
485000.0,NONE,1880,5502,2,8
175000.0,NONE,1250,9775,2,2
210000.0,NONE,1440,7210,2,6
260000.0,NONE,1920,7415,2,8
577000.0,NONE,2060,5750,2,8
200000.0,NONE,1210,10588,2,4
605000.0,NONE,1760,5000,1,5
325000.0,NONE,990,6750,2,2
289500.0,NONE,960,6400,2,2
559950.0,NONE,1660,1458,2,8
1040000.0,FAIR,1900,9375,2,5
543500.0,NONE,1270,2790,2,7
480000.0,NONE,3250,34293,3,7
218000.0,NONE,960,9633,2,2
565000.0,NONE,1330,6000,1,5
426700.0,NONE,2080,7700,2,5
650000.0,GOOD,2690,11575,2,8
542000.0,NONE,890,3060,1,2
415000.0,NONE,1070,8000,2,5
214000.0,NONE,1200,8316,2,2
245000.0,NONE,1360,8910,2,4
314500.0,NONE,2050,13303,2,6
1120000.0,NONE,3000,5750,2,4
378000.0,NONE,1300,3850,1,6
305000.0,NONE,2250,9091,3,8
595000.0,NONE,3740,6750,4,9
729500.0,FAIR,1660,1091,2,8
430000.0,NONE,2360,6699,2,8
240000.0,NONE,1760,6500,2,5
545000.0,NONE,1680,6200,2,5
530000.0,NONE,1320,2500,2,5
157000.0,NONE,870,26326,0,2
425000.0,NONE,1260,7645,3,2
220000.0,NONE,1000,6020,2,2
521000.0,NONE,2020,36400,3,5
325000.0,AVERAGE,1920,6862,2,2
597500.0,NONE,2150,5400,2,6
337000.0,NONE,1470,3976,2,8
1000000.0,AVERAGE,3180,10492,2,8
495000.0,NONE,990,6000,2,2
748000.0,NONE,2770,3330,3,12
888000.0,NONE,1250,8710,2,4
269900.0,NONE,1140,22267,2,5
496500.0,NONE,2250,14440,3,8
475000.0,NONE,1640,5097,2,8
312000.0,NONE,1255,1374,2,4
323000.0,NONE,1290,12231,2,2
331000.0,NONE,1300,9079,2,5
306000.0,NONE,1220,1086,2,4
655000.0,NONE,2630,4000,3,8
290000.0,NONE,1950,15954,2,4
460000.0,NONE,1550,4708,2,5
435000.0,NONE,1700,6380,3,8
664000.0,NONE,2510,11880,3,9
865000.0,GOOD,1800,4180,3,5
385000.0,NONE,1800,18000,2,5
497000.0,NONE,1870,9315,2,7
280000.0,NONE,1010,3000,1,2
188000.0,NONE,1120,17487,1,4
478500.0,AVERAGE,2090,4755,2,2
1150000.0,NONE,4370,18361,3,12
222000.0,NONE,1440,7187,2,6
799000.0,NONE,2580,209523,3,10
609900.0,NONE,3190,7399,3,8
413000.0,NONE,2380,5809,3,12
400000.0,NONE,1420,4875,3,2
802541.0,NONE,2990,6768,4,9
320000.0,NONE,2680,7757,2,8
507000.0,NONE,2730,7649,3,8
387500.0,NONE,1220,8329,2,2
396000.0,NONE,1500,12616,2,2
373000.0,FAIR,1830,11788,2,5
359900.0,NONE,2470,7698,3,7
410000.0,NONE,800,4342,1,2
690000.0,NONE,2900,23488,3,8
245000.0,NONE,1410,5760,2,6
700000.0,FAIR,2830,25958,4,8
268000.0,NONE,1680,9966,3,5
225000.0,NONE,1760,26055,2,5
980000.0,NONE,2240,11034,3,7
795000.0,AVERAGE,1380,5000,1,2
195000.0,NONE,820,5100,1,2
480000.0,NONE,2180,10575,3,6
485000.0,NONE,1400,3600,3,6
130000.0,NONE,880,9000,1,2
325000.0,AVERAGE,1060,5703,1,2
440000.0,NONE,1530,7245,2,5
550000.0,GOOD,2480,14782,3,5
310000.0,NONE,1490,7150,2,5
530000.0,AVERAGE,3660,39478,2,8
390000.0,NONE,2340,8548,3,8
243000.0,NONE,1450,12125,2,5
639000.0,NONE,2210,9875,3,8
215000.0,NONE,1130,7400,3,2
405000.0,NONE,1550,10500,4,5
250000.0,NONE,1710,7140,3,5
405500.0,NONE,1010,8108,2,4
452000.0,NONE,2660,13579,5,7
730000.0,NONE,2660,13579,5,7
267000.0,NONE,1300,9644,2,6
289950.0,NONE,1670,6186,2,8
565000.0,NONE,960,4080,1,2
636000.0,NONE,2140,2770,2,8
350000.0,NONE,2520,5500,4,10
320000.0,NONE,1650,9380,2,4
210000.0,NONE,1440,5680,1,5
245000.0,NONE,1050,5900,1,2
328000.0,NONE,1470,7650,2,5
985000.0,NONE,4230,37769,3,7
501000.0,GOOD,1970,7972,2,5
315000.0,NONE,1540,17424,2,7
403000.0,NONE,2090,8354,2,9
550000.0,NONE,2380,17950,2,6
347500.0,NONE,2156,3562,3,8
365000.0,NONE,2070,8893,3,7
588000.0,NONE,1910,8167,2,2
605000.0,NONE,1920,7400,2,5
233000.0,NONE,1400,9177,2,6
360000.0,NONE,2210,17715,3,8
459000.0,NONE,1170,4887,1,5
740000.0,NONE,2100,72745,2,6
305000.0,NONE,1160,9750,2,2
395000.0,NONE,1500,4000,2,2
560000.0,NONE,2940,6000,3,8
650000.0,FAIR,2010,5070,3,5
449950.0,NONE,2170,4912,2,8
517500.0,GOOD,1430,5200,2,4
435000.0,NONE,1510,6460,3,4
329999.0,NONE,1150,6908,2,2
950000.0,EXCELLENT,2150,4200,2,5
447000.0,NONE,1370,6001,2,2
699800.0,NONE,2380,6600,1,8
850000.0,NONE,1370,3850,2,5
316500.0,NONE,1600,14250,2,5
942500.0,AVERAGE,3750,9612,4,12
856600.0,NONE,2400,13430,3,7
405600.0,NONE,2830,4000,4,4
565000.0,NONE,2440,22594,3,8
400000.0,NONE,1190,1149,2,7
330000.0,NONE,1400,218252,2,6
374950.0,NONE,2730,4683,3,9
405300.0,NONE,2390,7939,2,9
560000.0,NONE,2060,31400,2,7
824000.0,NONE,2490,9864,3,7
260000.0,NONE,1100,10968,2,5
760000.0,NONE,2430,6099,3,8
