,id,price,date,yr_renovated,yr_built,condition,grade,view,waterfront,zipcode,lat,long,cat_waterfront,cat_view,cat_condition,cat_grade,cat_zipcode
140,4232901525,665000.0,6/27/2014,,1925,3,4,NONE,NO,98119,47.6338,-122.358,NO,NONE,Average,7 Average,98119
141,1777500060,527700.0,7/8/2014,,1968,4,5,NONE,NO,98006,47.5707,-122.128,NO,NONE,Good,8 Good,98006
142,1432900240,205000.0,5/8/2015,,1962,4,4,NONE,NO,98058,47.4563,-122.171,NO,NONE,Good,7 Average,98058
143,6140100875,420000.0,4/15/2015,,1923,4,4,NONE,NO,98133,47.7144,-122.351,NO,NONE,Good,7 Average,98133
144,6071600370,500000.0,2/27/2015,,1961,4,5,NONE,NO,98006,47.5495,-122.174,NO,NONE,Good,8 Good,98006
147,3224079105,430000.0,8/6/2014,,2007,3,4,NONE,NO,98027,47.5262,-121.943,NO,NONE,Average,7 Average,98027
148,8075400570,258000.0,10/30/2014,,1960,4,5,NONE,NO,98032,47.3887,-122.286,NO,NONE,Good,8 Good,98032
149,1994200024,511000.0,11/4/2014,,1947,3,4,NONE,NO,98103,47.6873,-122.336,NO,NONE,Average,7 Average,98103
150,3362900810,532170.0,8/20/2014,,1990,3,5,NONE,NO,98103,47.6838,-122.353,NO,NONE,Average,8 Good,98103
151,1324300398,560000.0,4/9/2015,,1947,3,4,NONE,NO,98107,47.655,-122.359,NO,NONE,Average,7 Average,98107
152,537000445,282950.0,3/31/2015,,1954,4,4,NONE,N/A,98003,47.3255,-122.304,,NONE,Good,7 Average,98003
154,7920100045,350000.0,5/16/2014,,1942,3,4,NONE,NO,98115,47.679,-122.3,NO,NONE,Average,7 Average,98115
155,8960000030,215000.0,7/28/2014,,1967,4,4,NONE,NO,98058,47.4479,-122.176,NO,NONE,Good,7 Average,98058
156,6388930390,650000.0,11/20/2014,,1996,3,6,NONE,NO,98056,47.525,-122.172,NO,NONE,Average,9 Better,98056
157,8731900200,320000.0,8/7/2014,,1967,3,5,NONE,NO,98023,47.3135,-122.369,NO,NONE,Average,8 Good,98023
158,8029200135,247000.0,11/13/2014,2013.0,1916,3,4,NONE,NO,98022,47.2086,-121.996,NO,NONE,Average,7 Average,98022
159,1081200350,320000.0,10/3/2014,,1968,4,5,NONE,NO,98059,47.4715,-122.118,NO,NONE,Good,8 Good,98059
160,84000105,255000.0,5/7/2014,,1962,3,4,NONE,NO,98146,47.4877,-122.335,NO,NONE,Average,7 Average,98146
161,3756500060,438000.0,3/9/2015,,1962,3,4,NONE,NO,98034,47.7171,-122.193,NO,NONE,Average,7 Average,98034
163,3574800520,441000.0,6/20/2014,,1979,3,4,NONE,NO,98034,47.7319,-122.224,NO,NONE,Average,7 Average,98034
164,2617300160,420000.0,8/12/2014,,1975,4,4,NONE,NO,98027,47.4582,-122.023,NO,NONE,Good,7 Average,98027
165,2558660270,370000.0,12/8/2014,,1976,3,4,NONE,NO,98034,47.7209,-122.168,NO,NONE,Average,7 Average,98034
166,2009000370,269950.0,2/19/2015,,1949,5,2,NONE,NO,98198,47.408,-122.327,NO,NONE,Very Good,5 Fair,98198
168,3261020370,653000.0,6/5/2014,,1979,4,5,NONE,NO,98034,47.7028,-122.231,NO,NONE,Good,8 Good,98034
169,1755700060,371500.0,6/11/2014,,1964,5,4,NONE,N/A,98133,47.7458,-122.331,,NONE,Very Good,7 Average,98133
170,4330600435,284000.0,3/16/2015,,1954,3,4,NONE,NO,98166,47.4776,-122.337,NO,NONE,Average,7 Average,98166
171,9542800700,272000.0,1/2/2015,,1978,4,4,NONE,NO,98023,47.3026,-122.374,NO,NONE,Good,7 Average,98023
172,1999700045,313000.0,5/2/2014,,1955,3,4,NONE,N/A,98133,47.7658,-122.339,,NONE,Average,7 Average,98133
174,1687900520,673000.0,9/29/2014,,1980,4,5,NONE,NO,98006,47.5619,-122.125,NO,NONE,Good,8 Good,98006
175,7234600798,425000.0,2/10/2015,,2008,3,5,NONE,NO,98122,47.6106,-122.31,NO,NONE,Average,8 Good,98122
176,3881900445,399950.0,7/9/2014,,1986,3,4,NONE,NO,98144,47.5868,-122.308,NO,NONE,Average,7 Average,98144
177,2254502445,385000.0,5/30/2014,,1901,3,3,NONE,NO,98122,47.6101,-122.307,NO,NONE,Average,6 Low Average,98122
178,5437810320,269950.0,11/17/2014,,1975,4,4,3.0,NO,98022,47.1976,-121.999,NO,AVERAGE,Good,7 Average,98022
179,9158100075,330000.0,1/7/2015,,1949,3,4,NONE,N/A,98177,47.7224,-122.358,,NONE,Average,7 Average,98177
180,3830630310,260000.0,7/25/2014,,1988,3,4,NONE,NO,98030,47.3505,-122.179,NO,NONE,Average,7 Average,98030
181,8123100045,470000.0,4/14/2015,,1925,4,4,NONE,NO,98126,47.5384,-122.376,NO,NONE,Good,7 Average,98126
182,3127200041,589000.0,6/13/2014,,1961,5,4,NONE,N/A,98034,47.7044,-122.2,,NONE,Very Good,7 Average,98034
183,6661200320,163500.0,7/23/2014,,1996,3,4,NONE,NO,98038,47.3848,-122.039,NO,NONE,Average,7 Average,98038
186,8731951370,269000.0,4/15/2015,,1969,4,5,NONE,NO,98023,47.3099,-122.379,NO,NONE,Good,8 Good,98023
187,1954440060,560000.0,5/5/2014,,1987,3,5,NONE,NO,98074,47.62,-122.043,NO,NONE,Average,8 Good,98074
188,2264500350,615000.0,4/18/2015,,1901,4,3,NONE,N/A,98103,47.65,-122.34,,NONE,Good,6 Low Average,98103
189,1115810060,585188.0,12/5/2014,,1975,3,5,NONE,NO,98052,47.6647,-122.153,NO,NONE,Average,8 Good,98052
190,9477200200,305000.0,8/18/2014,,1977,3,4,NONE,NO,98034,47.726000000000006,-122.191,NO,NONE,Average,7 Average,98034
191,1432600560,166950.0,11/5/2014,,1959,3,3,NONE,NO,98058,47.4616,-122.184,NO,NONE,Average,6 Low Average,98058
193,3663500060,400000.0,6/25/2014,,1962,4,4,NONE,NO,98133,47.7606,-122.336,NO,NONE,Good,7 Average,98133
194,3996900125,230000.0,12/1/2014,,1948,3,4,NONE,NO,98155,47.7481,-122.3,NO,NONE,Average,7 Average,98155
195,7796450200,256883.0,5/15/2014,,2003,3,5,NONE,NO,98023,47.2779,-122.347,NO,NONE,Average,8 Good,98023
196,7549802535,423000.0,11/11/2014,,1920,5,4,NONE,NO,98108,47.5511,-122.312,NO,NONE,Very Good,7 Average,98108
197,3278600320,465000.0,7/23/2014,,2007,3,5,NONE,N/A,98126,47.5488,-122.372,,NONE,Average,8 Good,98126
198,2824079053,440000.0,1/13/2015,,1997,3,4,NONE,NO,98024,47.5385,-121.911,NO,NONE,Average,7 Average,98024
199,1222069094,385000.0,10/14/2014,,1969,4,4,NONE,NO,98038,47.4058,-121.994,NO,NONE,Good,7 Average,98038
200,3542300060,210000.0,3/11/2015,,1943,4,3,NONE,N/A,98056,47.5093,-122.184,,NONE,Good,6 Low Average,98056
201,2222059065,297000.0,11/12/2014,,1994,3,5,NONE,NO,98042,47.3777,-122.165,NO,NONE,Average,8 Good,98042
202,7551300060,470000.0,7/16/2014,,1952,3,4,NONE,NO,98107,47.675,-122.394,NO,NONE,Average,7 Average,98107
203,100600550,226500.0,8/4/2014,,1976,4,4,NONE,NO,98023,47.3025,-122.37,NO,NONE,Good,7 Average,98023
204,3211100860,274250.0,3/3/2015,,1962,4,3,NONE,NO,98059,47.4787,-122.158,NO,NONE,Good,6 Low Average,98059
206,9526600140,677900.0,9/19/2014,,2010,3,5,NONE,NO,98052,47.7073,-122.114,NO,NONE,Average,8 Good,98052
207,7465900060,425000.0,2/5/2015,,1915,3,4,NONE,NO,98116,47.5733,-122.381,NO,NONE,Average,7 Average,98116
208,1222000055,180250.0,11/23/2014,,1941,3,3,NONE,NO,98166,47.4604,-122.339,NO,NONE,Average,6 Low Average,98166
209,6300000550,464000.0,7/17/2014,1994.0,1920,3,4,NONE,NO,98133,47.7067,-122.343,NO,NONE,Average,7 Average,98133
210,2310030510,320000.0,4/22/2015,,1993,3,5,NONE,N/A,98038,47.354,-122.047,,NONE,Average,8 Good,98038
211,1025049114,625504.0,7/17/2014,,2014,3,5,NONE,NO,98105,47.6647,-122.284,NO,NONE,Average,8 Good,98105
212,8677300550,592500.0,5/15/2014,,1983,3,6,NONE,NO,98074,47.6143,-122.017,NO,NONE,Average,9 Better,98074
213,4014400292,465000.0,1/14/2015,,2005,3,6,NONE,NO,98001,47.3185,-122.275,NO,NONE,Average,9 Better,98001
214,1102000196,477000.0,5/27/2014,,1978,3,5,NONE,NO,98118,47.5458,-122.268,NO,NONE,Average,8 Good,98118
215,257000138,280000.0,1/15/2015,,1923,3,3,NONE,NO,98168,47.4889,-122.299,NO,NONE,Average,6 Low Average,98168
217,1909600046,445838.0,7/3/2014,,2000,3,5,NONE,NO,98146,47.5133,-122.379,NO,NONE,Average,8 Good,98146
219,7611200125,467000.0,10/23/2014,,1947,4,5,NONE,NO,98177,47.7145,-122.367,NO,NONE,Good,8 Good,98177
220,5611500140,686000.0,8/22/2014,,1999,3,7,NONE,NO,98075,47.5836,-122.026,NO,NONE,Average,10 Very Good,98075
221,7138000260,279950.0,6/5/2014,,1961,3,4,NONE,NO,98198,47.398,-122.299,NO,NONE,Average,7 Average,98198
222,626059335,527000.0,9/4/2014,,1987,3,5,NONE,NO,98011,47.7663,-122.215,NO,NONE,Average,8 Good,98011
223,1922059282,325000.0,9/18/2014,,1966,4,5,NONE,NO,98030,47.3758,-122.217,NO,NONE,Good,8 Good,98030
224,705700390,328000.0,9/3/2014,,1994,3,4,NONE,NO,98038,47.3828,-122.023,NO,NONE,Average,7 Average,98038
225,7454001200,390000.0,6/4/2014,,1942,5,4,NONE,NO,98146,47.5123,-122.373,NO,NONE,Very Good,7 Average,98146
226,8682281200,479950.0,3/9/2015,,2005,3,5,NONE,N/A,98053,47.7076,-122.013,,NONE,Average,8 Good,98053
227,7972000200,264950.0,5/29/2014,,1978,4,4,NONE,N/A,98023,47.2922,-122.371,,NONE,Good,7 Average,98023
228,722059070,235000.0,1/15/2015,,1961,4,4,NONE,NO,98031,47.4075,-122.214,NO,NONE,Good,7 Average,98031
229,7202340400,516500.0,3/3/2015,,2004,3,4,NONE,NO,98053,47.6794,-122.034,NO,NONE,Average,7 Average,98053
230,8096000060,655000.0,4/13/2015,1978.0,1915,3,4,5.0,YES,98166,47.4497,-122.375,YES,EXCELLENT,Average,7 Average,98166
231,2424000060,500000.0,6/16/2014,,1960,5,4,NONE,NO,98059,47.5218,-122.164,NO,NONE,Very Good,7 Average,98059
232,9264902050,315000.0,11/21/2014,,1978,3,5,NONE,NO,98023,47.3103,-122.339,NO,NONE,Average,8 Good,98023
233,943100260,213000.0,11/20/2014,,1961,3,3,NONE,NO,98024,47.5687,-121.899,NO,NONE,Average,6 Low Average,98024
234,3677400445,475000.0,9/2/2014,,1947,5,4,NONE,NO,98108,47.5575,-122.303,NO,NONE,Very Good,7 Average,98108
236,4058000060,416000.0,4/9/2015,,1976,5,4,NONE,NO,98010,47.3459,-121.95,NO,NONE,Very Good,7 Average,98010
237,7228500560,410000.0,3/20/2015,2005.0,1904,3,4,NONE,NO,98122,47.6136,-122.303,NO,NONE,Average,7 Average,98122
239,5152100060,472000.0,5/29/2014,,1965,4,6,3.0,NO,98003,47.3376,-122.324,NO,AVERAGE,Good,9 Better,98003
240,3584000310,225000.0,12/8/2014,,1968,4,4,NONE,NO,98003,47.3173,-122.319,NO,NONE,Good,7 Average,98003
241,8150100045,210000.0,10/1/2014,,1940,3,3,NONE,NO,98126,47.5308,-122.376,NO,NONE,Average,6 Low Average,98126
242,1868901275,455000.0,1/27/2015,,1925,2,4,NONE,NO,98115,47.6727,-122.299,NO,NONE,Fair,7 Average,98115
243,6131600075,225000.0,4/27/2015,,1954,4,3,NONE,NO,98002,47.3221,-122.216,NO,NONE,Good,6 Low Average,98002
244,9468200125,480000.0,8/26/2014,,1918,4,4,3.0,NO,98103,47.6779,-122.353,NO,AVERAGE,Good,7 Average,98103
245,8029510030,363000.0,2/12/2015,,1990,3,6,NONE,NO,98023,47.3076,-122.395,NO,NONE,Average,9 Better,98023
247,7899800890,181000.0,2/26/2015,,1954,3,3,NONE,NO,98106,47.5218,-122.357,NO,NONE,Average,6 Low Average,98106
248,3021059276,250000.0,3/14/2015,,1976,4,4,NONE,NO,98002,47.2785,-122.213,NO,NONE,Good,7 Average,98002
249,3797001895,481000.0,4/22/2015,,1918,4,3,NONE,NO,98103,47.6846,-122.345,NO,NONE,Good,6 Low Average,98103
250,3832710960,260000.0,9/23/2014,,1978,4,4,NONE,NO,98032,47.3656,-122.278,NO,NONE,Good,7 Average,98032
251,1310430400,455000.0,5/13/2014,,2001,3,6,NONE,NO,98058,47.4369,-122.111,NO,NONE,Average,9 Better,98058
